sdm,target,layer,r2_test
sdm-xlsr-fairseq,sdm-mwhisper,6,-0.5803214907646179
sdm-xlsr-fairseq,sdm-mwhisper,7,-0.5190464854240417
sdm-xlsr-fairseq,sdm-mwhisper,8,-0.4985133409500122
sdm-xlsr-fairseq,sdm-mwhisper,9,-0.4243429899215698
sdm-xlsr-fairseq,sdm-mwhisper,10,-0.3944953382015228
sdm-xlsr-fairseq,sdm-mwhisper,11,-0.345182329416275
sdm-xlsr-fairseq,sdm-mwhisper,12,-0.3527168333530426
sdm-xlsr-fairseq,sdm-mwhisper,13,-0.33754777908325195
sdm-xlsr-fairseq,sdm-mwhisper,14,-0.3664010465145111
sdm-xlsr-fairseq,sdm-mwhisper,15,-0.3714214265346527
sdm-xlsr-fairseq,sdm-mwhisper,16,-0.4140433967113495
sdm-xlsr-fairseq,sdm-mwhisper,17,-0.4332735538482666
sdm-xlsr-fairseq,sdm-mwhisper,18,-0.526827871799469
sdm-xlsr-fairseq,sdm-mwhisper,19,-0.6055225133895874
sdm-xlsr-fairseq,sdm-mwhisper,20,-0.6644527316093445
sdm-xlsr-fairseq,sdm-mwhisper,21,-0.7728440165519714
sdm-xlsr-fairseq,sdm-mwhisper,22,-0.8875254988670349
sdm-xlsr-fairseq,sdm-mwhisper,23,-1.0323936939239502
sdm-xlsr-fairseq,sdm-mwhisper,24,0.15739929676055908
sdm-xlsr-fairseq,sdm-w2v2-asr,0,0.03982245922088623
sdm-xlsr-fairseq,sdm-w2v2-asr,1,-0.17284926772117615
sdm-xlsr-fairseq,sdm-w2v2-asr,2,-0.21928063035011292
sdm-xlsr-fairseq,sdm-w2v2-asr,3,-0.2101919949054718
sdm-xlsr-fairseq,sdm-w2v2-asr,4,-0.2602062225341797
sdm-xlsr-fairseq,sdm-w2v2-asr,5,-0.33779963850975037
sdm-xlsr-fairseq,sdm-w2v2-asr,6,-0.29604989290237427
sdm-xlsr-fairseq,sdm-w2v2-asr,7,-0.21708375215530396
sdm-xlsr-fairseq,sdm-w2v2-asr,8,-0.2612939178943634
sdm-xlsr-fairseq,sdm-w2v2-asr,9,-0.23337912559509277
sdm-xlsr-fairseq,sdm-w2v2-asr,10,-0.22280307114124298
