sdm,layer,target,r2_train,r2_test,n_test,n_groups_train,n_groups_test,probe_type,n_dropped,n_dropped_x_only,n_dropped_y_only,n_dropped_both,target_var,target_constant,split
sdm-xlsr-fairseq,2,sdm-emotion2vec,0.6366859078407288,-0.14262112975120544,500,400,100,ridge,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,2,sdm-emotion2vec,0.23468255996704102,0.15487639605998993,500,400,100,mlp,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-xlsr-fairseq,0.734956681728363,0.10822827368974686,500,400,100,ridge,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-xlsr-fairseq,0.43208229541778564,0.34936848282814026,500,400,100,mlp,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-dvector,0.8632606267929077,0.5269436836242676,500,400,100,ridge,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-dvector,0.7063125371932983,0.6032304763793945,500,400,100,mlp,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-pitch,0.9177881479263306,0.7951238751411438,500,400,100,ridge,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-pitch,0.8958942890167236,0.8561536073684692,500,400,100,mlp,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-mpm,0.7989813089370728,0.3318328261375427,500,400,100,ridge,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-mpm,0.6044174432754517,0.5266140699386597,500,400,100,mlp,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-speaking-rate,0.6267334818840027,-0.0871814489364624,500,400,100,ridge,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-speaking-rate,0.30569249391555786,0.17102015018463135,500,400,100,mlp,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-w2v2-asr,0.7489893436431885,0.15655332803726196,500,400,100,ridge,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-w2v2-asr,0.4968664348125458,0.3863082826137543,500,400,100,mlp,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-mwhisper,0.6759505271911621,-0.07858312129974365,500,400,100,ridge,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-mwhisper,0.20807456970214844,0.1679832488298416,500,400,100,mlp,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-emotion2vec,0.6500328183174133,-0.18316781520843506,500,400,100,ridge,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,3,sdm-emotion2vec,0.24179403483867645,0.15725137293338776,500,400,100,mlp,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-xlsr-fairseq,0.750300943851471,0.1073046550154686,500,400,100,ridge,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-xlsr-fairseq,0.4387783110141754,0.35838326811790466,500,400,100,mlp,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-dvector,0.855730414390564,0.46075257658958435,500,400,100,ridge,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-dvector,0.7057309150695801,0.5825479030609131,500,400,100,mlp,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-pitch,0.9219803810119629,0.7972602248191833,500,400,100,ridge,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-pitch,0.8962326645851135,0.8396296501159668,500,400,100,mlp,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-mpm,0.8008420467376709,0.28076815605163574,500,400,100,ridge,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-mpm,0.6346127986907959,0.5136201977729797,500,400,100,mlp,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-speaking-rate,0.6360396146774292,-0.24748194217681885,500,400,100,ridge,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-speaking-rate,0.4048087000846863,0.12614339590072632,500,400,100,mlp,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-w2v2-asr,0.7622531652450562,0.12254055589437485,500,400,100,ridge,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-w2v2-asr,0.529624879360199,0.3948298394680023,500,400,100,mlp,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-mwhisper,0.6907164454460144,-0.11546554416418076,500,400,100,ridge,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-mwhisper,0.2681905925273895,0.19683904945850372,500,400,100,mlp,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-emotion2vec,0.6644625663757324,-0.22100968658924103,500,400,100,ridge,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,4,sdm-emotion2vec,0.2628841698169708,0.16065913438796997,500,400,100,mlp,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-xlsr-fairseq,0.7616413235664368,0.10761264711618423,500,400,100,ridge,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-xlsr-fairseq,0.4769399166107178,0.3777436912059784,500,400,100,mlp,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-dvector,0.8454495668411255,0.40451955795288086,500,400,100,ridge,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-dvector,0.691280722618103,0.5487186908721924,500,400,100,mlp,0,0,0,0,0.808678150177002,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-pitch,0.9251888394355774,0.7656478881835938,500,400,100,ridge,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-pitch,0.9208416938781738,0.8058295845985413,500,400,100,mlp,0,0,0,0,0.26823890209198,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-mpm,0.8007314801216125,0.2649778723716736,500,400,100,ridge,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-mpm,0.5852553248405457,0.49932557344436646,500,400,100,mlp,0,0,0,0,0.31650859117507935,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-speaking-rate,0.6342329978942871,-0.1723628044128418,500,400,100,ridge,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-speaking-rate,0.38277530670166016,0.05580371618270874,500,400,100,mlp,0,0,0,0,0.16363002359867096,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-w2v2-asr,0.7701378464698792,0.11227419972419739,500,400,100,ridge,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-w2v2-asr,0.5457985401153564,0.3995702862739563,500,400,100,mlp,0,0,0,0,0.2909645438194275,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-mwhisper,0.6968539357185364,-0.12877018749713898,500,400,100,ridge,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-mwhisper,0.29004570841789246,0.20579363405704498,500,400,100,mlp,0,0,0,0,0.6189746856689453,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-emotion2vec,0.6718957424163818,-0.2516736686229706,500,400,100,ridge,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,5,sdm-emotion2vec,0.2568630278110504,0.16104625165462494,500,400,100,mlp,0,0,0,0,0.08824935555458069,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-xlsr-fairseq,0.7657883763313293,0.14641977846622467,500,400,100,ridge,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-xlsr-fairseq,0.48534154891967773,0.39059337973594666,500,400,100,mlp,0,0,0,0,0.29453492164611816,False,group_by_utterance
sdm-xlsr-fairseq,6,sdm-dvector,0.8348703384399414,0.3919198513031006,500,400,100,ridge,0,0,0,0,0.808678150177002,False,group_by_utterance
